started
2017-1-15T12.12.9.331	Created parser
2017-1-15T12.12.9.331	Assigned names - going to load data
2017-1-15T12.12.9.331	Loading data
2017-1-15T12.12.9.331	Creating stop words manager
2017-1-15T12.12.9.333	Before big loop
2017-1-15T12.12.14.306	Opening sw stream with some words
2017-1-15T12.12.14.307	finalizing stats
2017-1-15T12.12.14.327	At line '53' in file ''	 Word 351377 is in 1 documents
2017-1-15T12.12.14.327	At line '53' in file ''	 Word brownweiss is in 1 documents
2017-1-15T12.12.14.327	At line '53' in file ''	 Word chittharanjan is in 1 documents
2017-1-15T12.12.14.327	At line '53' in file ''	 Word 617645 is in 1 documents
2017-1-15T12.12.14.327	At line '53' in file ''	 Word vinod is in 1 documents
2017-1-15T12.12.14.327	At line '53' in file ''	 Word 227266 is in 1 documents
2017-1-15T12.12.14.328	At line '53' in file ''	 Word 111149 is in 1 documents
2017-1-15T12.12.14.328	At line '53' in file ''	 Word privateinterest is in 1 documents
2017-1-15T12.12.14.328	At line '53' in file ''	 Word 335411 is in 1 documents
2017-1-15T12.12.14.328	At line '53' in file ''	 Word 501532 is in 1 documents
2017-1-15T12.12.14.328	At line '53' in file ''	 Word energ is in 1 documents
2017-1-15T12.12.14.329	At line '53' in file ''	 Word pescator is in 1 documents
2017-1-15T12.12.14.329	At line '53' in file ''	 Word thursbi is in 1 documents
2017-1-15T12.12.14.329	At line '53' in file ''	 Word kovenoch is in 1 documents
2017-1-15T12.12.14.329	At line '53' in file ''	 Word horlich is in 1 documents
2017-1-15T12.12.14.329	At line '53' in file ''	 Word hefler is in 1 documents
2017-1-15T12.12.14.330	At line '53' in file ''	 Word werksman is in 1 documents
2017-1-15T12.12.14.330	At line '53' in file ''	 Word colombatto is in 1 documents
2017-1-15T12.12.14.330	At line '53' in file ''	 Word arend is in 1 documents
2017-1-15T12.12.14.330	At line '53' in file ''	 Word duval is in 1 documents
2017-1-15T12.12.14.330	At line '53' in file ''	 Word katzenstein is in 1 documents
2017-1-15T12.12.14.331	At line '53' in file ''	 Word bierstek is in 1 documents
